time	ref	y	y_dot	p1	p2	z	u
0.114000	0.578157	0.061427	0.579915	7421557.283120	5368088.708136	0.173077	0.173080
0.115000	0.578157	0.062007	0.579892	7423413.060171	5367625.965115	0.173078	0.173081
0.116000	0.578157	0.062587	0.579867	7425406.984918	5367134.840176	0.173079	0.173082
0.117000	0.578157	0.063167	0.579842	7427536.083722	5366616.021515	0.173079	0.173084
0.118000	0.578157	0.063747	0.579815	7429797.376707	5366070.020763	0.173080	0.173085
0.119000	0.578157	0.064327	0.579786	7432188.239734	5365497.242108	0.173082	0.173086
0.120000	0.578157	0.064907	0.579757	7434705.917029	5364898.470971	0.173083	0.173088
0.121000	0.578157	0.065486	0.579727	7437347.538033	5364274.332448	0.173084	0.173090
0.122000	0.578157	0.066066	0.579695	7440110.625848	5363625.015165	0.173085	0.173091
0.123000	0.578157	0.066646	0.579663	7442992.571904	5362951.511770	0.173087	0.173093
0.124000	0.578157	0.067225	0.579629	7445990.697882	5362253.983890	0.173088	0.173095
0.125000	0.578157	0.067805	0.579595	7449102.841574	5361532.983388	0.173090	0.173097
0.126000	0.578157	0.068384	0.579559	7452326.493905	5360789.128635	0.173091	0.173099
0.127000	0.578157	0.068964	0.579522	7455659.455407	5360022.632793	0.173093	0.173101
0.128000	0.578157	0.069544	0.579485	7459099.731098	5359234.000108	0.173095	0.173103
0.129000	0.578157	0.070123	0.579446	7462645.105468	5358423.759737	0.173097	0.173105
0.130000	0.578157	0.070702	0.579407	7466293.578946	5357592.163232	0.173099	0.173108
0.131000	0.578157	0.071282	0.579366	7470043.398521	5356739.553815	0.173101	0.173110
0.132000	0.578157	0.071861	0.579325	7473892.504007	5355866.606006	0.173103	0.173112
0.133000	0.578157	0.072440	0.579283	7477838.994011	5354973.418607	0.173105	0.173115
0.134000	0.578157	0.073020	0.579240	7481881.330349	5354060.348811	0.173107	0.173117
0.135000	0.578157	0.073599	0.579196	7486017.680806	5353127.923351	0.173109	0.173120
0.136000	0.578157	0.074178	0.579151	7490246.373625	5352176.296894	0.173112	0.173122
0.137000	0.578157	0.074757	0.579105	7494565.660052	5351206.096786	0.173114	0.173125
0.138000	0.578157	0.075336	0.579059	7498974.104230	5350217.495034	0.173117	0.173128
0.139000	0.578157	0.075915	0.579012	7503469.790088	5349210.776035	0.173119	0.173131
0.140000	0.578157	0.076494	0.578964	7508051.376197	5348186.166308	0.173122	0.173133
0.141000	0.578157	0.077073	0.578915	7512717.725326	5347143.806572	0.173124	0.173136
0.142000	0.578157	0.077652	0.578865	7517467.633106	5346084.056519	0.173127	0.173139
0.143000	0.578157	0.078231	0.578815	7522299.624218	5345007.347506	0.173130	0.173142
0.144000	0.578157	0.078810	0.578764	7527212.186722	5343913.993265	0.173133	0.173145
0.145000	0.578157	0.079389	0.578712	7532204.065407	5342804.096028	0.173135	0.173148
0.146000	0.578157	0.079967	0.578659	7537273.965366	5341678.052520	0.173138	0.173151
0.147000	0.578157	0.080546	0.578606	7542420.597571	5340536.050560	0.173141	0.173155
0.148000	0.578157	0.081124	0.578552	7547643.007023	5339378.157607	0.173144	0.173158
0.149000	0.578157	0.081703	0.578497	7552939.967740	5338204.842016	0.173147	0.173161
0.150000	-0.295309	0.082280	0.573737	6685157.864307	6250383.993501	0.156353	0.080501
0.151000	-0.295309	0.082844	0.551247	4853699.946194	7140502.131286	0.140987	0.071584
0.152000	-0.295309	0.083376	0.507951	2966641.027118	7611587.868372	0.126662	0.061960
0.153000	-0.295309	0.083855	0.448744	1594580.766680	7584052.290178	0.113004	0.051313
0.154000	-0.295309	0.084271	0.382353	982213.034118	7134542.267244	0.100077	0.041690
0.155000	-0.295309	0.084620	0.317601	1096989.724284	6473127.583034	0.087749	0.032070
0.156000	-0.295309	0.084909	0.260824	1706571.395451	5839477.299692	0.075933	0.022561
0.157000	-0.295309	0.085145	0.214600	2491097.656378	5425021.688029	0.064459	0.012634
0.158000	-0.295309	0.085341	0.177869	3163704.714583	5314700.672700	0.053382	0.003354
0.159000	-0.295309	0.085503	0.147216	3551534.067511	5514360.550871	0.042702	-0.005535
0.160000	-0.295309	0.085636	0.118398	3608808.443267	5987761.447595	0.032300	-0.014682
0.161000	-0.295309	0.085739	0.087676	3391505.681139	6682746.422804	0.021970	-0.024688
0.162000	-0.295309	0.085810	0.052800	3018979.900122	7553147.947052	0.011590	-0.035293
0.163000	-0.295309	0.085844	0.014041	2628833.858057	8624674.513978	0.001207	-0.045692
0.164000	-0.295309	0.085844	-0.008287	2460398.396621	12430304.894347	-0.009360	-0.057088
0.165000	-0.295309	0.085820	-0.045519	2769784.670886	20175198.077414	-0.019743	-0.066637
0.166000	-0.295309	0.085746	-0.103084	4298034.134190	24761511.565020	-0.030031	-0.076497
0.167000	-0.295309	0.085617	-0.150747	6886980.231195	25486840.014725	-0.040676	-0.088759
0.168000	-0.295309	0.085453	-0.174177	9592130.493804	25978892.354392	-0.050599	-0.095418
0.169000	-0.295309	0.085275	-0.178884	11596571.747977	27246299.600928	-0.059565	-0.100062
0.170000	-0.295309	0.085098	-0.175326	12582297.463690	28542986.428844	-0.067662	-0.104233
0.171000	-0.295309	0.084924	-0.171765	12652862.467284	29399900.364667	-0.074970	-0.107980
0.172000	-0.295309	0.084753	-0.173324	12151739.201584	29831589.716080	-0.081536	-0.111188
0.173000	-0.295309	0.084575	-0.181858	11484876.461915	29966288.977002	-0.087421	-0.114007
0.174000	-0.295309	0.084387	-0.196238	10970892.761252	29915867.878600	-0.092681	-0.116439
0.175000	-0.295309	0.084182	-0.213545	10760729.127538	29770936.054325	-0.097365	-0.118523
