time	ref	y	y_dot	p1	p2	z	u
0.139000	0.578157	0.082566	0.576311	7488324.863480	5474500.875775	0.170199	0.173888
0.140000	0.578157	0.082643	0.573372	7407538.456056	5310706.508339	0.172326	0.173277
0.141000	0.578157	0.083202	0.573944	7601931.061311	5250477.866635	0.173512	0.174723
0.142000	0.578157	0.083365	0.577364	7662895.826637	5368793.250499	0.172133	0.175071
0.143000	0.578157	0.083977	0.579813	7487179.765843	5443361.631045	0.171753	0.173820
0.144000	0.578157	0.084927	0.576240	7270740.437871	5576149.435739	0.168449	0.173212
0.145000	0.578157	0.086182	0.572468	7160645.640633	5393751.412629	0.170928	0.172602
0.146000	0.578157	0.086487	0.570205	7257655.846481	5361440.330517	0.170533	0.174360
0.147000	0.578157	0.087250	0.567139	7467010.897870	5241731.078290	0.171474	0.174673
0.148000	0.578157	0.088282	0.564753	7705168.681704	5306709.890448	0.169381	0.175678
0.149000	0.578157	0.087686	0.564581	7709709.909041	5297891.553342	0.169681	0.175348
0.150000	-0.295309	0.088154	0.560911	7044476.112056	6034581.632407	0.156090	0.096454
0.151000	-0.295309	0.088613	0.543503	5350802.624884	6917908.180454	0.141018	0.073823
0.152000	-0.295309	0.090130	0.503305	3533509.382363	7536359.366711	0.125962	0.051957
0.153000	-0.295309	0.090269	0.449226	1980930.465770	7840334.698079	0.110354	0.035640
0.154000	-0.295309	0.090053	0.380917	801908.511534	7724524.134661	0.095262	0.021760
0.155000	-0.295309	0.090463	0.310087	410647.726848	7001200.549928	0.082719	0.012604
0.156000	-0.295309	0.091301	0.245315	740325.063056	6309387.465514	0.068647	0.008154
0.157000	-0.295309	0.091293	0.187755	1341722.808085	5681104.811986	0.055850	-0.000903
0.158000	-0.295309	0.091555	0.139986	2164706.276376	5225972.622748	0.043149	-0.010111
0.159000	-0.295309	0.092573	0.102230	2757676.614221	4953260.957688	0.032350	-0.021194
0.160000	-0.295309	0.092151	0.071536	3104423.244273	4985927.350596	0.021785	-0.032084
0.161000	-0.295309	0.092738	0.047475	3122980.741876	5821711.249937	0.010911	-0.046162
0.162000	-0.295309	0.093224	0.014766	2698796.165334	7977580.439806	-0.001440	-0.053570
0.163000	-0.295309	0.094451	-0.011488	2459159.001386	13518447.712680	-0.010393	-0.063340
0.164000	-0.295309	0.093888	-0.051582	2908718.668275	21673300.936116	-0.021670	-0.069066
0.165000	-0.295309	0.093244	-0.111267	4607064.971816	25443017.058138	-0.031439	-0.075946
0.166000	-0.295309	0.092953	-0.153447	7164415.370465	25806152.632335	-0.042829	-0.086348
0.167000	-0.295309	0.092478	-0.176033	9762811.816674	26353395.365370	-0.052572	-0.097258
0.168000	-0.295309	0.092159	-0.182432	11449374.202304	27779241.550948	-0.064424	-0.101753
0.169000	-0.295309	0.091656	-0.182232	12222703.353858	29054211.188014	-0.075386	-0.106192
0.170000	-0.295309	0.090919	-0.186101	12145604.044382	29557681.608385	-0.082483	-0.110083
0.171000	-0.295309	0.090903	-0.190736	11785076.623042	29815837.983725	-0.089275	-0.112743
0.172000	-0.295309	0.090302	-0.204123	11388419.840309	29733182.953704	-0.092305	-0.115320
0.173000	-0.295309	0.090441	-0.215500	11124175.516760	29721505.074570	-0.097833	-0.116867
0.174000	-0.295309	0.090935	-0.228249	11079032.279839	29660275.722876	-0.101678	-0.119032
0.175000	-0.295309	0.089979	-0.246634	11301426.079912	29453248.006581	-0.104779	-0.120682
0.176000	-0.295309	0.090120	-0.254990	11515209.574339	29436086.741184	-0.108984	-0.122193
0.177000	-0.295309	0.089654	-0.262541	11851358.444941	29320971.377476	-0.109304	-0.123464
0.178000	-0.295309	0.088882	-0.268827	12042378.114586	29345666.612187	-0.113077	-0.123589
0.179000	-0.295309	0.088881	-0.272836	12037508.551767	29515465.371329	-0.119103	-0.123933
0.180000	-0.295309	0.089021	-0.279359	11987062.872990	29424437.397880	-0.118555	-0.124399
0.181000	-0.295309	0.088623	-0.284756	12085476.886752	29310301.619547	-0.119135	-0.124451
0.182000	-0.295309	0.088279	-0.288928	12377870.559736	29229071.920946	-0.118667	-0.124197
0.183000	-0.295309	0.088414	-0.288864	12669577.384749	29218565.105910	-0.118682	-0.123902
0.184000	-0.295309	0.087829	-0.282165	12615773.821336	29410810.381395	-0.120847	-0.123907
0.185000	-0.295309	0.087335	-0.281552	12387142.394185	29496635.700798	-0.121870	-0.124497
