time	ref	y	y_dot	p1	p2	z	u
0.256000	-0.295309	0.058239	-0.320124	12392334.356273	29364653.887551	-0.135075	-0.135095
0.257000	-0.295309	0.057919	-0.320134	12392411.281091	29364640.140574	-0.135079	-0.135097
0.258000	-0.295309	0.057599	-0.320143	12392482.231046	29364627.405346	-0.135082	-0.135100
0.259000	-0.295309	0.057279	-0.320152	12392547.438908	29364615.834104	-0.135086	-0.135102
0.260000	-0.295309	0.056959	-0.320160	12392607.323027	29364605.216498	-0.135089	-0.135104
0.261000	-0.295309	0.056638	-0.320167	12392662.234250	29364595.520300	-0.135092	-0.135105
0.262000	-0.295309	0.056318	-0.320174	12392712.780217	29364586.498483	-0.135094	-0.135107
0.263000	-0.295309	0.055998	-0.320180	12392759.502114	29364578.077124	-0.135097	-0.135108
0.264000	-0.295309	0.055678	-0.320186	12392802.611528	29364570.347455	-0.135099	-0.135110
0.265000	-0.295309	0.055358	-0.320191	12392842.549202	29364563.105000	-0.135101	-0.135111
0.266000	-0.295309	0.055037	-0.320196	12392879.439896	29364556.472927	-0.135103	-0.135112
0.267000	-0.295309	0.054717	-0.320201	12392913.500365	29364550.348937	-0.135105	-0.135113
0.268000	-0.295309	0.054397	-0.320205	12392945.021703	29364544.647778	-0.135106	-0.135114
0.269000	-0.295309	0.054077	-0.320209	12392974.165345	29364539.391742	-0.135108	-0.135115
0.270000	-0.295309	0.053757	-0.320213	12393001.052795	29364534.566581	-0.135109	-0.135116
0.271000	-0.295309	0.053436	-0.320216	12393026.019298	29364530.009353	-0.135111	-0.135117
0.272000	-0.295309	0.053116	-0.320219	12393049.182477	29364525.797163	-0.135112	-0.135117
0.273000	-0.295309	0.052796	-0.320222	12393070.530332	29364521.976813	-0.135113	-0.135118
0.274000	-0.295309	0.052476	-0.320225	12393090.159500	29364518.479482	-0.135114	-0.135119
0.275000	-0.295309	0.052156	-0.320227	12393108.194665	29364515.271891	-0.135115	-0.135119
0.276000	-0.295309	0.051835	-0.320229	12393124.870454	29364512.256714	-0.135116	-0.135120
0.277000	-0.295309	0.051515	-0.320231	12393140.226984	29364509.512851	-0.135117	-0.135120
0.278000	-0.295309	0.051195	-0.320233	12393154.459914	29364506.923339	-0.135117	-0.135121
0.279000	-0.295309	0.050875	-0.320235	12393167.715416	29364504.487015	-0.135118	-0.135121
0.280000	-0.295309	0.050554	-0.320237	12393179.909836	29364502.315130	-0.135119	-0.135122
0.281000	-0.295309	0.050234	-0.320238	12393191.143393	29364500.300442	-0.135119	-0.135122
0.282000	-0.295309	0.049914	-0.320240	12393201.583393	29364498.388562	-0.135120	-0.135122
0.283000	-0.295309	0.049594	-0.320241	12393211.308666	29364496.600042	-0.135120	-0.135123
0.284000	-0.295309	0.049273	-0.320242	12393220.263444	29364495.000290	-0.135121	-0.135123
0.285000	-0.295309	0.048953	-0.320243	12393228.532283	29364493.507850	-0.135121	-0.135123
0.286000	-0.295309	0.048633	-0.320244	12393236.050477	29364492.206491	-0.135122	-0.135123
0.287000	-0.295309	0.048313	-0.320245	12393243.019481	29364490.933065	-0.135122	-0.135124
0.288000	-0.295309	0.047992	-0.320246	12393249.461884	29364489.770726	-0.135122	-0.135124
0.289000	-0.295309	0.047672	-0.320247	12393255.430002	29364488.685290	-0.135123	-0.135124
0.290000	-0.295309	0.047352	-0.320248	12393261.034402	29364487.632812	-0.135123	-0.135124
0.291000	-0.295309	0.047032	-0.320248	12393266.225163	29364486.692706	-0.135123	-0.135124
0.292000	-0.295309	0.046711	-0.320249	12393271.045469	29364485.810145	-0.135123	-0.135125
0.293000	-0.295309	0.046391	-0.320250	12393275.366315	29364485.090544	-0.135124	-0.135125
0.294000	-0.295309	0.046071	-0.320250	12393279.408558	29364484.331945	-0.135124	-0.135125
0.295000	-0.295309	0.045751	-0.320251	12393283.166924	29364483.645756	-0.135124	-0.135125
0.296000	-0.295309	0.045430	-0.320251	12393286.623468	29364483.028022	-0.135124	-0.135125
0.297000	-0.295309	0.045110	-0.320252	12393289.812481	29364482.452897	-0.135124	-0.135125
0.298000	-0.295309	0.044790	-0.320252	12393292.792657	29364481.898905	-0.135124	-0.135125
0.299000	-0.295309	0.044470	-0.320252	12393295.540261	29364481.405995	-0.135125	-0.135125
0.300000	0.418988	0.000009	0.019736	2707672.572451	2510144.458389	0.011883	0.065556
0.301000	0.418988	0.000043	0.050219	3879247.057821	2239825.792021	0.022158	0.068567
0.302000	0.418988	0.000113	0.090549	4941830.080004	2964678.393515	0.031375	0.073005
0.303000	0.418988	0.000225	0.133773	5472317.767458	4226793.660428	0.039897	0.078385
0.304000	0.418988	0.000379	0.173384	5432474.594496	5427959.004981	0.047850	0.083773
0.305000	0.418988	0.000569	0.204652	5048841.384516	6189705.869466	0.055255	0.088700
0.306000	0.418988	0.000784	0.223549	4707407.950657	6312459.187326	0.062069	0.092846
0.307000	0.418988	0.001012	0.230271	4824360.312406	5811783.100286	0.068331	0.096613
0.308000	0.418988	0.001243	0.230970	5596064.261633	5029716.675453	0.073960	0.099386
0.309000	0.418988	0.001475	0.232921	6879795.731404	4384558.347771	0.078932	0.101387
0.310000	0.418988	0.001711	0.240201	8324991.013794	4059958.307684	0.083318	0.103131
0.311000	0.418988	0.001957	0.252979	9585934.618925	4019339.316777	0.087250	0.105008
0.312000	0.418988	0.002218	0.268924	10463660.991310	4148602.729059	0.090843	0.107073
